Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
100,JNJ170421C00100000,22.33,22.7,23.05,0.83,3.86%,31,120,40.48%
105,JNJ170421C00105000,17.43,17.15,17.95,-0.28,-1.58%,5,327,31.62%
110,JNJ170421C00110000,12.7,12.25,13.15,0.05,0.40%,1,167,26.29%
115,JNJ170421C00115000,8.2,7.85,8.3,0.1,1.23%,7,"1,329",19.56%
120,JNJ170421C00120000,3.96,4,4.05,-0.07,-1.74%,82,"22,669",14.99%
125,JNJ170421C00125000,1.38,1.38,1.41,0.02,1.47%,132,"6,069",13.53%
130,JNJ170421C00130000,0.33,0.33,0.34,-0.01,-2.94%,19,"1,316",13.16%
135,JNJ170421C00135000,0.06,0.08,0.09,0.01,20.00%,4,938,14.16%
140,JNJ170421C00140000,0.02,0,0.08,0,0.00%,1,549,17.92%
150,JNJ170421C00150000,0.04,0,0.07,0,0.00%,1,0,24.81%
