,V1,V2,V3,V4,V5,V6
1,43,0,0,6.615024452,6.615024452,6.615024452
2,44,0.28375873,6.725,6.725,6.723537878,6.723537878
3,45,0.249756213,5.7,5.7,5.702477,5.702477
4,46,0.115800603,3.85,3.85,3.850583878,3.850583878
5,47,0.150605814,3.35,3.35,3.348954083,3.348954083
6,48,0.115607627,2.31,2.31,2.309916174,2.309916174
7,49,0.114808107,1.685,1.685,1.683917876,1.683917876
8,50,0.113587765,1.17,1.17,1.168902297,1.168902297
9,52.5,0.114094495,0.4,0.4,0.399306679,0.399306679
10,55,0.038210977,0.14,8.40E-07,6.92E-07,6.92E-07
