,V1,V2,V3,V4,V5,V6
1,47,0.149851673,0.2,0.200000001,0.199475678,0.199815893
2,47.5,0.133914827,0.22,0.22,0.220320121,0.22075865
3,48,0.137722011,0.35,0.35,0.350765766,0.351515957
4,48.5,0.133030716,0.47,0.47,0.469910025,0.471023469
5,49,0.129158586,0.63,0.63,0.630946378,0.632638609
6,49.5,0.125830553,0.835,0.835,0.833929348,0.836533471
7,50,0.129861199,1.135,1.135,1.136005468,1.139587815
8,50.5,0.081907802,1.165,1.165,1.164356008,1.172380729
9,51,0,0,1.454484608,1.454484608,1.5
10,51.5,0,1.4,1.954038379,1.954038379,2
