"","V1","V2","V3","V4","V5","V6"
"1",37,0.0242445560026075,0.025,2.87496326330249e-137,0,0
"2",38,0.0382073076359869,0.055,8.51384362611867e-48,0,0
"3",40,0.0291283414377143,0.045,2.54182106791692e-53,0,0
"4",45,0.172586877063912,0.245,0.244999999999449,0.24358384796422,0.244138479201777
"5",50,0.163972872327691,1.8,1.79999999999986,1.7995857187366,1.8060751977045
"6",52.5,0.19212096624201,3.7,3.70000000021133,3.70162930954875,3.71532834443441
"7",55,0.17604365051657,5.65,5.64999999999994,5.65029878632018,5.68033876913438
"8",57.5,0,7.525,7.89741305132188,7.89741305132193,8.00000000000015
"9",60,0.0680047253520585,10.575,10.3929527505865,10.3929528871759,10.4999999999996
"10",65,0.141939395633787,15.725,15.3840742220694,15.3840699737464,15.5000000000006
