,V1,V2,V3,V4,V5
1,47.5,0.208662786,3.231300701,3.035338199,3.035338199
2,48,0.294357773,4.401465212,4.205638215,4.205638215
3,48.5,0.190884253,2.988907332,2.792572935,2.792572935
4,49,0.176157542,2.788303256,2.591511535,2.591511535
5,49.5,0.166349438,2.654816242,2.457625915,2.457625915
6,50,0.132154881,2.19051605,1.991088916,1.991088916
7,50.5,0.13052713,2.168471525,1.96889371,1.96889371
8,51,0.12866257,2.14322824,1.943471456,1.943471456
9,51.5,0.12935692,2.15262762,1.952938294,1.952938294
10,52,0.126671366,2.116280677,1.916324937,1.916324937
