,V1,V2,V3,V4,V5
1,41,0.024244556,0.091027046,0.183647106,0.218814806
2,42,0.038207308,0.243265885,0.363790543,0.397768139
3,43,0.029128341,0.140505545,0.245522744,0.280370809
4,44,0.172586877,2.027954149,2.185634275,2.213059327
5,45,0.163972872,1.910747315,2.06814947,2.095719157
6,50,0.192120966,2.294020996,2.452110503,2.479260642
7,52.5,0.176043651,2.07501187,2.232785253,2.260156519
8,55,0,0,0,0
9,57.5,0.068004725,0.619734857,0.762794545,0.794055882
10,60,0.141939396,1.611415755,1.767740255,1.79577393
