,calls.Strike,calls.Last,calls.Chg,calls.Bid,calls.Ask,calls.Vol,calls.OI
VZ170331C00047500,47.5,1.45,0,1.59,3.7,20,0
VZ170331C00048000,48,2.6,0,2.81,2.87,19,328
VZ170331C00048500,48.5,1.92,-0.2800001,1.84,1.91,7,18
VZ170331C00049000,49,1.67,-0.26,1.47,1.5,74,206
VZ170331C00049500,49.5,1.14,-0.48000002,1.14,1.17,48,204
VZ170331C00050000,50,0.65,-0.19,0.68,0.71,10,148
VZ170331C00050500,50.5,0.46,-0.16,0.49,0.51,19,1624
VZ170331C00051000,51,0.37,-0.17000002,0.33,0.36,27,567
VZ170331C00051500,51.5,0.23,-0.26,0.23,0.25,2,97
VZ170331C00052000,52,0.2,-0.00999999,0.13,0.17,1,52
