,puts.Strike,puts.Last,puts.Chg,puts.Bid,puts.Ask,puts.Vol,puts.OI
VZ170331P00047000,47,0.2,0.080000006,0.18,0.22,20,159
VZ170331P00047500,47.5,0.23,0.08,0.2,0.24,1,114
VZ170331P00048000,48,0.32,0.00999999,0.34,0.36,90,338
VZ170331P00048500,48.5,0.5,0.110000014,0.46,0.48,29,158
VZ170331P00049000,49,0.63,0.100000024,0.62,0.64,548,178
VZ170331P00049500,49.5,0.74,0.050000012,0.82,0.85,14,674
VZ170331P00050000,50,1.05,0.17999995,1.08,1.19,551,172
VZ170331P00050500,50.5,1.18,0.30999994,1.15,1.18,15,35
VZ170331P00051000,51,2.78,0,0,0,1,0
VZ170331P00051500,51.5,1.42,0,1.38,1.42,10,0
